antibiotic,model,status,error,train_rows,test_rows,train_groups,test_groups,overlapping_groups,balanced_accuracy,resistant_recall,susceptible_recall,f1,brier_score,auroc,pr_auc,no_call_rate,called_rows,called_accuracy
amoxicillin,logistic_regression,trained,,229,92,96,33,0,0.5546686018384132,0.9811320754716981,0.1282051282051282,0.7482014388489209,0.23274254316752255,0.6054668601838413,0.6605403658896677,0.8586956521739131,13,0.7692307692307693
amoxicillin,linear_svc,trained,,229,92,96,33,0,0.5452346395742622,0.9622641509433962,0.1282051282051282,0.7391304347826086,0.23210757654101097,0.6059506531204645,0.6896081205376741,0.8586956521739131,13,0.7692307692307693
amoxicillin,random_forest,trained,,229,92,96,33,0,0.558055152394775,0.9622641509433962,0.15384615384615385,0.7445255474452555,0.23184887087641176,0.6093372036768263,0.6475047810227752,0.7391304347826086,24,0.6666666666666666
amoxicillin,extra_trees,trained,,229,92,96,33,0,0.558055152394775,0.9622641509433962,0.15384615384615385,0.7445255474452555,0.2328515342719422,0.6083696178035801,0.6469837532772831,0.7608695652173914,22,0.6363636363636364
amoxicillin,gradient_boosting,trained,,229,92,96,33,0,0.558055152394775,0.9622641509433962,0.15384615384615385,0.7445255474452555,0.22923315837501204,0.6260280599903242,0.6907749772206883,0.8804347826086957,11,0.8181818181818182
ampicillin,logistic_regression,trained,,390,92,204,69,0,0.9451127819548872,0.9473684210526315,0.9428571428571428,0.9557522123893806,0.04472892213681251,0.9701754385964914,0.9863241744988909,0.04347826086956519,88,0.9659090909090909
ampicillin,linear_svc,trained,,390,92,204,69,0,0.9593984962406015,0.9473684210526315,0.9714285714285714,0.9642857142857143,0.038726318860352056,0.97468671679198,0.9887948076163182,0.03260869565217395,89,0.9662921348314607
ampicillin,random_forest,trained,,390,92,204,69,0,0.9165413533834585,0.9473684210526315,0.8857142857142857,0.9391304347826087,0.06928634987676659,0.9556390977443608,0.9760932790916705,0.03260869565217395,89,0.9325842696629213
ampicillin,extra_trees,trained,,390,92,204,69,0,0.9165413533834585,0.9473684210526315,0.8857142857142857,0.9391304347826087,0.06708822652662116,0.9546365914786967,0.9753058096955194,0.05434782608695654,87,0.9310344827586207
ampicillin,gradient_boosting,trained,,390,92,204,69,0,0.9308270676691729,0.9473684210526315,0.9142857142857143,0.9473684210526315,0.04932014348423825,0.9691729323308271,0.9859578675824228,0.03260869565217395,89,0.9550561797752809
cefotaxime,logistic_regression,trained,,74,14,42,14,0,0.9090909090909092,1.0,0.8181818181818182,0.75,0.13447112715482915,0.9090909090909091,0.7555555555555555,0.0,14,0.8571428571428571
cefotaxime,linear_svc,trained,,74,14,42,14,0,0.9090909090909092,1.0,0.8181818181818182,0.75,0.1350645357326874,0.9393939393939393,0.8666666666666667,0.0714285714285714,13,0.8461538461538461
cefotaxime,random_forest,trained,,74,14,42,14,0,0.9090909090909092,1.0,0.8181818181818182,0.75,0.09428858769674744,1.0,1.0,0.0714285714285714,13,0.9230769230769231
cefotaxime,extra_trees,trained,,74,14,42,14,0,0.9090909090909092,1.0,0.8181818181818182,0.75,0.08548235279756941,1.0,1.0,0.0714285714285714,13,0.9230769230769231
cefotaxime,gradient_boosting,trained,,74,14,42,14,0,0.9090909090909092,1.0,0.8181818181818182,0.75,0.14072098578262182,0.9393939393939393,0.8055555555555556,0.0,14,0.8571428571428571
ceftazidime,logistic_regression,trained,,53,20,33,11,0,0.8186813186813187,0.9230769230769231,0.7142857142857143,0.8888888888888888,0.1649646238348822,0.8021978021978022,0.8888372311449234,0.75,5,0.8
ceftazidime,linear_svc,trained,,53,20,33,11,0,0.7472527472527473,0.9230769230769231,0.5714285714285714,0.8571428571428571,0.1671980206868326,0.8461538461538463,0.9269239532397426,0.55,9,0.8888888888888888
ceftazidime,random_forest,trained,,53,20,33,11,0,0.6703296703296704,0.7692307692307693,0.5714285714285714,0.7692307692307693,0.1772715913216284,0.7912087912087913,0.8669681625563977,0.5,10,0.8
