antibiotic,feature_set,n_features,test_rows,balanced_accuracy,resistant_recall,susceptible_recall,f1,brier_score,auroc,pr_auc,no_call_rate,called_rows,called_accuracy
amoxicillin,all_refined,56,92,0.5546686018384132,0.9811320754716981,0.1282051282051282,0.7482014388489209,0.23274254316752255,0.6054668601838413,0.6605403658896677,0.8586956521739131,13,0.7692307692307693
amoxicillin,family_only,37,92,0.5546686018384132,0.9811320754716981,0.1282051282051282,0.7482014388489209,0.23068612256728746,0.6139332365747461,0.6666667889617396,0.8586956521739131,13,0.7692307692307693
amoxicillin,class_only,4,92,0.5561199806482826,0.8301886792452831,0.28205128205128205,0.704,0.23913661100857514,0.5815191098209966,0.6257070488258023,0.7934782608695652,19,0.6842105263157895
amoxicillin,subclass_only,11,92,0.5621673923560716,0.8679245283018868,0.2564102564102564,0.71875,0.24145903627928558,0.5570875665215287,0.6302008395516998,0.9239130434782609,7,0.7142857142857143
amoxicillin,summary_only,4,92,0.5553942912433478,0.9056603773584906,0.20512820512820512,0.7272727272727273,0.2406487029921668,0.5950653120464442,0.6467290348072949,0.782608695652174,20,0.6
amoxicillin,family_plus_summary,41,92,0.5452346395742622,0.9622641509433962,0.1282051282051282,0.7391304347826086,0.23256465409552568,0.6020803096274795,0.6598439493066176,0.8804347826086957,11,0.8181818181818182
amoxicillin,class_plus_family,41,92,0.5452346395742622,0.9622641509433962,0.1282051282051282,0.7391304347826086,0.23135746033428947,0.6158684083212385,0.6636707067733649,0.8586956521739131,13,0.7692307692307693
ampicillin,all_refined,56,92,0.9451127819548872,0.9473684210526315,0.9428571428571428,0.9557522123893806,0.04472892213681251,0.9701754385964914,0.9863241744988909,0.04347826086956519,88,0.9659090909090909
ampicillin,family_only,37,92,0.9681704260651629,0.9649122807017544,0.9714285714285714,0.9734513274336283,0.03962998110805653,0.9701754385964912,0.9862237224794677,0.021739130434782594,90,0.9666666666666667
ampicillin,class_only,4,92,0.800250626566416,0.7719298245614035,0.8285714285714286,0.822429906542056,0.1589240957687819,0.8142857142857143,0.8307381897288111,0.0,92,0.7934782608695652
ampicillin,subclass_only,11,92,0.800250626566416,0.7719298245614035,0.8285714285714286,0.822429906542056,0.15497200925247007,0.8403508771929825,0.8852994878522642,0.10869565217391308,82,0.8414634146341463
ampicillin,summary_only,4,92,0.8726817042606516,0.8596491228070176,0.8857142857142857,0.8909090909090909,0.11513766942293428,0.9100250626566417,0.9489874725837393,0.18478260869565222,75,0.8933333333333333
ampicillin,family_plus_summary,41,92,0.9681704260651629,0.9649122807017544,0.9714285714285714,0.9734513274336283,0.04490309021676425,0.9676691729323308,0.9843004209575272,0.05434782608695654,87,0.9655172413793104
ampicillin,class_plus_family,41,92,0.9538847117794487,0.9649122807017544,0.9428571428571428,0.9649122807017544,0.044035488231420866,0.9696741854636592,0.9855407390263162,0.06521739130434778,86,0.9651162790697675
cefotaxime,all_refined,56,14,0.9090909090909092,1.0,0.8181818181818182,0.75,0.13447112715482915,0.9090909090909091,0.7555555555555555,0.0,14,0.8571428571428571
cefotaxime,family_only,37,14,0.9090909090909092,1.0,0.8181818181818182,0.75,0.14814419755421596,0.9090909090909091,0.7555555555555555,0.2142857142857143,11,0.8181818181818182
cefotaxime,class_only,4,14,0.5,1.0,0.0,0.35294117647058826,0.3567699910833187,0.5909090909090908,0.3214285714285714,0.7857142857142857,3,0.3333333333333333
cefotaxime,subclass_only,11,14,0.9090909090909092,1.0,0.8181818181818182,0.75,0.18304887432420516,0.9393939393939393,0.8055555555555556,0.3571428571428571,9,0.7777777777777778
cefotaxime,summary_only,4,14,0.5,1.0,0.0,0.35294117647058826,0.3370920204396679,0.4848484848484848,0.48333333333333334,1.0,0,
cefotaxime,family_plus_summary,41,14,0.9090909090909092,1.0,0.8181818181818182,0.75,0.1490805234490444,0.9393939393939393,0.8666666666666667,0.3571428571428571,9,0.8888888888888888
cefotaxime,class_plus_family,41,14,0.9090909090909092,1.0,0.8181818181818182,0.75,0.14674789915565117,0.9090909090909091,0.7555555555555555,0.2142857142857143,11,0.8181818181818182
ceftazidime,all_refined,56,20,0.8186813186813187,0.9230769230769231,0.7142857142857143,0.8888888888888888,0.1649646238348822,0.8021978021978022,0.8888372311449234,0.75,5,0.8
ceftazidime,family_only,37,20,0.7472527472527473,0.9230769230769231,0.5714285714285714,0.8571428571428571,0.1789825322285688,0.7582417582417583,0.860315752623445,0.8,4,1.0
ceftazidime,class_only,4,20,0.46153846153846156,0.9230769230769231,0.0,0.75,0.25025900671019263,0.41208791208791207,0.6379442195231668,0.55,9,0.5555555555555556
ceftazidime,subclass_only,11,20,0.8186813186813187,0.9230769230769231,0.7142857142857143,0.8888888888888888,0.1388995859908329,0.8186813186813188,0.8655657376811222,0.09999999999999998,18,0.8333333333333334
ceftazidime,summary_only,4,20,0.23076923076923078,0.46153846153846156,0.0,0.46153846153846156,0.27646453598781,0.24175824175824176,0.6017988359051707,0.95,1,1.0
ceftazidime,family_plus_summary,41,20,0.7472527472527473,0.9230769230769231,0.5714285714285714,0.8571428571428571,0.16850944994584466,0.8461538461538461,0.9054306804306803,0.8,4,1.0
ceftazidime,class_plus_family,41,20,0.7472527472527473,0.9230769230769231,0.5714285714285714,0.8571428571428571,0.18924557562158834,0.7582417582417583,0.8610539033615957,0.8,4,1.0
chloramphenicol,all_refined,56,16,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.07688626715610752,0.9454545454545454,0.9805194805194806,0.0625,15,0.9333333333333333
chloramphenicol,family_only,37,16,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.07817211921667666,1.0,1.0,0.3125,11,1.0
chloramphenicol,class_only,4,16,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.05531335071548059,0.9545454545454546,0.9715909090909091,0.0,16,0.9375
chloramphenicol,subclass_only,11,16,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.09583912676692868,0.9090909090909091,0.9715909090909092,0.25,12,0.9166666666666666
chloramphenicol,summary_only,4,16,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.07224243132280052,0.9454545454545454,0.9805194805194806,0.0625,15,0.9333333333333333
chloramphenicol,family_plus_summary,41,16,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.07720390514881208,0.9818181818181818,0.9924242424242424,0.3125,11,1.0
chloramphenicol,class_plus_family,41,16,0.9545454545454546,0.9090909090909091,1.0,0.9523809523809523,0.0499692141237304,1.0,1.0,0.125,14,1.0
gentamicin,all_refined,56,24,0.9615384615384616,1.0,0.9230769230769231,0.9565217391304348,0.09919987293726919,0.93006993006993,0.8542535747081202,0.33333333333333337,16,0.9375
gentamicin,family_only,37,24,0.9615384615384616,1.0,0.9230769230769231,0.9565217391304348,0.08884051784541835,0.9300699300699301,0.85425357470812,0.16666666666666663,20,0.95
gentamicin,class_only,4,24,0.548951048951049,0.6363636363636364,0.46153846153846156,0.56,0.26091779937643156,0.5419580419580419,0.4879476584022039,0.6666666666666667,8,0.625
gentamicin,subclass_only,11,24,0.8706293706293706,0.8181818181818182,0.9230769230769231,0.8571428571428571,0.14214704097200268,0.8776223776223775,0.8866207244665743,0.5416666666666667,11,0.9090909090909091
gentamicin,summary_only,4,24,0.6083916083916083,0.9090909090909091,0.3076923076923077,0.6666666666666666,0.2105903343005394,0.8006993006993007,0.7037780401416764,0.41666666666666663,14,0.7857142857142857
gentamicin,family_plus_summary,41,24,0.9615384615384616,1.0,0.9230769230769231,0.9565217391304348,0.0914868097416877,0.93006993006993,0.8542535747081202,0.29166666666666663,17,0.9411764705882353
gentamicin,class_plus_family,41,24,0.9615384615384616,1.0,0.9230769230769231,0.9565217391304348,0.10318658027219359,0.9300699300699301,0.85425357470812,0.375,15,0.9333333333333333
