checkm_contamination,cgmlst_hc100,genome_id,genome_name,genome_quality,genome_length,contigs,species,genome_status,isolation_country,cgmlst_hc50,host_common_name,checkm_completeness,cgmlst_hc20,collection_year
0.0,18,1438684.3,Escherichia coli CHS 68,Good,5227634,35,Escherichia coli,WGS,USA,18,Human,100.0,21853,
0.4,18,1438685.3,Escherichia coli CHS 69,Good,5250696,72,Escherichia coli,WGS,USA,18,Human,100.0,21854,2013.0
0.4,3718,1438686.3,Escherichia coli CHS 77,Good,5000065,32,Escherichia coli,WGS,USA,21855,Human,99.6,21855,2013.0
0.0,36621,1328432.3,Escherichia coli BWH 32,Good,5087927,47,Escherichia coli,WGS,USA,36621,Human,100.0,36621,2012.0
0.0,18,1328433.3,Escherichia coli BWH 34,Good,5410353,5,Escherichia coli,WGS,USA,18,Human,100.0,36627,2012.0
0.4,99,1328434.3,Escherichia coli BWH 40,Good,5288563,23,Escherichia coli,WGS,USA,2760,Human,100.0,3665,2012.0
0.0,18,562.17359,Escherichia coli strain 81009,Good,5147804,2,Escherichia coli,Complete,United Arab Emirates,18,Human,100.0,43,2009.0
0.4,1471,562.19151,Escherichia coli strain 104,Good,4921291,78,Escherichia coli,WGS,Norway,35533,Human,100.0,35533,2013.0
0.11,18,562.42635,Escherichia coli strain 108,Good,5286714,256,Escherichia coli,WGS,Norway,18,Human,99.78,15942,2015.0
0.11,59,562.42686,Escherichia coli strain 24,Good,5050545,238,Escherichia coli,WGS,USA,102,Human,99.78,2951,
1.86,50381,562.48345,Escherichia coli 590,Good,5745298,332,Escherichia coli,WGS,Canada,50381,,99.78,50381,2016.0
0.11,2008,562.48346,Escherichia coli 290,Good,5399739,225,Escherichia coli,WGS,Canada,2606,,99.78,2606,2016.0
0.11,2008,562.48348,Escherichia coli 292,Good,5397571,229,Escherichia coli,WGS,Canada,2008,,99.78,2008,2016.0
0.22,2008,562.48349,Escherichia coli 291,Good,5337373,218,Escherichia coli,WGS,Canada,4205,,99.78,4205,2016.0
0.0,6065,562.58704,Escherichia coli strain 14037824,Good,5480990,153,Escherichia coli,WGS,Italy,24496,Turkey,99.78,24496,2014.0
0.0,24497,562.58705,Escherichia coli strain 14040376,Good,5196353,235,Escherichia coli,WGS,Italy,24497,Turkey,99.78,24497,2014.0
0.33,24498,562.58706,Escherichia coli strain 14043377,Good,5370377,161,Escherichia coli,WGS,Italy,24498,Turkey,99.78,24498,2014.0
0.0,24499,562.58707,Escherichia coli strain 14043512,Good,4868412,116,Escherichia coli,WGS,Italy,24499,Turkey,99.78,24499,2014.0
0.55,24501,562.58709,Escherichia coli strain 14045775,Good,5640030,209,Escherichia coli,WGS,Italy,24501,Turkey,99.78,24501,2014.0
0.0,24503,562.58711,Escherichia coli strain 14063820,Good,5195515,203,Escherichia coli,WGS,Italy,24503,Turkey,99.78,24503,2014.0
0.0,177,562.58712,Escherichia coli strain 14053473,Good,4953062,102,Escherichia coli,WGS,Italy,177,Turkey,99.78,24504,2014.0
0.11,959,562.58713,Escherichia coli strain 14050802,Good,5359126,197,Escherichia coli,WGS,Italy,18364,Turkey,99.78,24505,2014.0
0.55,177,562.58714,Escherichia coli strain 14047606,Good,4679182,93,Escherichia coli,WGS,Italy,24506,Turkey,99.78,24506,2014.0
0.44,2553,562.58715,Escherichia coli strain 14050800,Good,5602950,325,Escherichia coli,WGS,Italy,2553,Turkey,99.78,2553,2014.0
0.33,24508,562.58716,Escherichia coli strain 14057877,Good,5319355,242,Escherichia coli,WGS,Italy,24508,Turkey,99.78,24508,2014.0
0.0,24509,562.58717,Escherichia coli strain 14054555,Good,5164506,63,Escherichia coli,WGS,Italy,24509,Turkey,99.78,24509,2014.0
0.0,24510,562.58718,Escherichia coli strain 14062120,Good,5365159,142,Escherichia coli,WGS,Italy,24510,Turkey,99.78,24510,2014.0
0.33,1948,562.58719,Escherichia coli strain 14062104,Good,5116609,163,Escherichia coli,WGS,Italy,8462,Turkey,99.78,24511,2014.0
